Full Tweet,user_location,place,State
"Seeing Raising Arizona, Millerâ€™s Crossing, Barton Fink in the 80s/90s sparked my interest in cinema art. Just saw The Ballad of Buster Scruggs. Another masterpiece by the Coen Brothers. Amazing and refreshing to be reminded of what films can do.",Washington State,,WA
"Overlooked fave movies: Speed Racer, A.I., Mission to Mars, Robot Jox, In The Mouth of Madness, Miller's Crossing, Regarding Henry, Dreams",Washington State,,WA
"Millerâ€™s CROSSING THE LINE is on view @NASciences 2101 Constitution Ave NW thru Jan. 13. M-F, 9-5. Closed 12/17, 12/25 &amp; 1/1. #NAStalksArt",Washington DC,,DC
"@fineartsmustsee Deborah the Mockingjay!! Hunger games and a bible story in one? Ohhhh yes, it's a must see! #FAmustsee","Warrenton, VA",,VA
"Sundown Sessions @ the SUB is LIVE! Join us for Movie Night featuring The Hunger Games: Mockingjay - Part 2 (9pm &amp; 11pm) in the SUB Den and Blacklight Bowling in the Gameroom (9pm-1am)! _Ÿ_¥ _Ÿç¿ _Ÿ__ https://t.co/YoReauB1Uv","Waco, TX",,TX
"I want an OUAT fic with a super exasperated narrator.Narrator: Did these twoâ€”did they seriously just promise to raise a child together?  This is the gayest story Iâ€™ve ever had to narrate and Iâ€™ve narrated Brokeback Mountain.","Virginia, USA",,VA
brokeback mountain (2005) https://t.co/yrLVqxsFzM,"Virginia Beach, VA","Virginia Beach, VA",VA
"@adnanESPN @balladofbuster @CinephileESPN I agree with you 100%....I either love their movies or I strongly dislike their movies....there is no middle ground.  Blood Simple, Fargo and Miller's Crossing remain my Top 3 Coen movies.",Virginia Beach,,VA
The Love Witch | 2016 https://t.co/Mc5EhoMtEZ,vegas,,NV
"#7FavScreenplaysNetworkSimple MenMiller's CrossingWithnail &amp; IUsual SuspectsMementoTreasure Sierra Madre @colebrax @TheCinegogue","Vancouver, Canada","Miami, FL",FL
"And @SadiqKhan to Lawrence of Arabia?Give it a rest. https://t.co/J6lOyi53rw","Valdosta, Georgia, USA",,GA
Mitchell finally watched the Hunger Games and he keeps doing the mockingjay whistle and forcing me to put three fingers up in the air,"Valdosta, GA",,GA
Damn! Merry Christmas Mr. Lawrence! _Ÿ˜„_Ÿ˜„_Ÿ˜„ If you like Bowie then definitely check out that movie. Ryuichi Sakamoto is a legend! Thatâ€™s crazy I didnâ€™t think Merry Christmas Mr. Lawrence would be brought up in 2018 haha. Itâ€™s fun to play too. _Ÿ_¸ https://t.co/uQtIRUpzLp,Turlock CA,,CA
"The Love Witch-2.5/5-There are interesting ideas and themes at play, but the film feels uncertain with how to use them, so plods along. Retro style &amp; aesthetic works well, though.",Trowbridge,,IL
George Sanders in a publicity portrait for The Picture of Dorian Gray (1945) https://t.co/ChIYgkyEua,"Torrance, CA",,CA
@andymannion77 Miller's Crossing,"Toluca Lake, CA",,CA
"Watched @suspiriamovie tonight and Iâ€™m kind of disturbed by how much I related to certain aspects of the film (I already have a therapist, donâ€™t @ me). Also, Luca Guadagnino, call me by your name. Watch it when it comes out in theaters near you this weekend. #Suspiria",The City of Angels (& Actors),,CA
@slatscan @Ms_AlexVause_ @carolina64raven @Jana7380 @giorgiap85 @lyonne_stone @Cate_Blanchtt @Alex_Vausex @PeachesBeaches5 @wiesinger_heike @LauschJack @ancg24 @carol_trash @MontaukLove1 @CharlieFranky1 Thanks C2!! Hope it was very merry!! #CarolMovie https://t.co/MmBz0uUHcK,"Texas, USA",,TX
"I never looked like that#carolmovie #CateBlanchett #RooneyMara #loveislove #LoveWins #carolaird#theresebelivet https://t.co/H6ruOhCSWa","Texas, USA",,TX
"That moment, when your whole world changes _Ÿ‘’_Ÿ“__Ÿ’˜#CarolMovie #loveislove#CateBlanchett#lovewins#RooneyMara#FridayFeeling https://t.co/TLDELndFII","Texas, USA",,TX
"@LaurenWaksman One of many for me _Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç#carolmovie #loveislove#CateBlanchett #lovewins#RooneyMara https://t.co/OIWzBUFNrO","Texas, USA",,TX
Sweet Carol dreams every1 #CateBlanchett #CarolMovie @MissVausePrepon @Ms_AlexVause_ @Jana7380 @giorgiap85 @slatscan https://t.co/tCrObA5Bn9,"Texas, USA",,TX
We're the Capital in the Hunger Games and some days I'm so eager for the Mockingjay to come fuck our shit up https://t.co/yx9tH1mWyY,"Texas, USA",,TX
Oscar Wilde Book Purse - The Picture of Dorian Gray Book Purse orâ€_ https://t.co/0jfNvtQAQo #etsymntt #ClassicStories https://t.co/BVYf35R876,Texas,,TX
#RockStarFilms Steve Miller's Crossing,Tennessee and Georgia,,TN
Film Review #162: Miller's Crossing - http://t.co/lFtAQSpv via @Shareaholic,"Tempe, Arizona",,AZ
Just happy to live a life where watching MILLERâ€™S CROSSING counts as work.,"Tangent, OR",,OR
i very easily see myself being Julia Robertsâ€™ character in this movie when iâ€™m 28. man iâ€™m pathetic .,"sunnydale, CA",,CA
"#ProductionDesigner Dennis Gassner talks his â€œAll-In,â€ù â€˜Lawrence of Arabiaâ€™ moment with #BladeRunner2049 with @Variety. He says, â€œIt was going to be particularly demanding in lots of ways. You think about trying to remake a film 35 years later.â€ù Read more: https://t.co/Ndn41KJt7c https://t.co/LhHlv584cp","Studio City, CA",,CA
"You ever notice there's a cartoon giraffe voiced by Carrot Top in every Coen brothers movie? Miller's Crossing, Blood Simple, all of them.","St Paul, MN",,MN
"Oscar nominee for Call Me By Your Name and star of Beautiful Boy, Timothee Chalamet, and the real Nic Sheff, at the Hi-Pointe Theater. https://t.co/c54LkYRzkY","St Louis, MO",,MO
I feel more like an extra in Hunger Games. Im waiting to hear the mockingjay whistle.Thanks again for standing up against this menace. Salud https://t.co/NkN8JlmZDA,Southwestern USA. NM. Arizona.,,AZ
"I know I'm late to the party, but ""Mona Lisa Smile"" is a great movie. There's also a lot of ginger actors in it!! https://t.co/Gah7DBMKFa",Southern California,,CA
"Omg, I met actor Michael Stuhlbarg (â€œPapa Perlmanâ€ù) from Call Me By Your Name!_Ÿ_¬â_êï¸èâ_êï¸èâ_êï¸èâ_êï¸èâ_êï¸è https://t.co/lh7JTupEB1","South San Francisco, CA",,CA
Brokeback mountain (2005) @FerminFlores12 https://t.co/icJC4VNg6W,"South Los Angeles, Los Angeles",,CA
'Miller's Crossing' | a studiously crafted love letter to American film noirs http://t.co/b9bOTl5MiD via @LaFamiliaFilm,South Florida/NYC,,NY
"Katniss, The Snackingjay, am I right? _Ÿç¬_Ÿ’— The Hunger Games themed food shoot on Patreon this month because snacks. _Ÿ˜ç_Ÿ_—Join the fun @ https://t.co/edxZTxqBRs _Ÿ’•.....#thehungergames #hungergames #cosplay #katniss #katnisseverdeen #mockingjay #macarons #impliednude #snacks https://t.co/muFNw5BHau",South Florida,,FL
In bed watching the hunger games mockingjay part 2 I hope it's good _Ÿ‘€_Ÿ‘€,South Florida,,FL
The Hunger Games : Mockingjay 2 _Ÿ˜ç,"South Daytona, FL",,FL
They already made a movie about us. It was called The Hunger Games. The Badlands Tweeter was the Mockingjay. Trump was Prez Snow. #resist https://t.co/l5mwTLcfyH,South Dakota,,SD
"On the final exam in my literature classes, I give my students bonus points for witty Tweets about texts we read during the semester. Best so far: ""You can really enjoy reading ""The Picture of Dorian Gray"" any time. It never gets old. #ForeverYoung"" #TweetTheText",South Carolina,,SC
If we're just making stuff up how about an Oops We Made A Mistake Oscarâ„¢ and give it to Brokeback Mountain. https://t.co/X31pApAYrl,"South Bend, IN",,IN
Carol is the best Christmas movie. #CarolMovie https://t.co/pT4aVBmRn8,"Sonoma, CA",,CA
"And I'd choose you; in a hundred lifetimes, in a hundred worlds, in any version of reality, I'd find you and I'd choose you. #CarolMovie https://t.co/39JIL9eeEU","Sonoma, CA",,CA
After watching Mockingjay Part 2 i'm still underwhelmed by the end of the hunger games series _Ÿ˜•,"Somersworth, NH","Somersworth, NH",NH
@ericallenhatch The Love Witch is apparently destined to dominate my feed and thoughts this week. I may as well just submit. cc: @Syfyfangrrls,"Somerset, MA",,MA
"Call Me By Your Name: contender Moonlight: Winner Stars of both movies since the roles: https://t.co/KjvFV8JP5V",sleepless in Seattle ,,WA
Mona Lisa Smile is such a great movie _Ÿ˜ç,"shitville, OH",,OH
Staggeringly sad. 20th Century Fox has no existing prints of the Coen Brothers Miller's Crossing or Barton Fink.,"Shadow Mountains, USA",,CA
"Happy birthday #JeremyIrons! ""Being Julia"" (2004) #WhiteTie https://t.co/hCwN5v289T","SF Bay Area, California",,CA
"Watched Call Me By Your Name for the 5th time or so last night. I think it might be my favorite film of all time. The mood and the colors throughout the movie make me feel nostalgic for a romance and summer I never experienced, but fondly revisit every time I rewatch. https://t.co/6ZE6K45YZZ","Seattle, WA","Seattle, WA",WA
"All 40+ Years old:""The Day The Earth Stood Still""""Three Days of the Condor""""The Manchurian Candidate""""All The President's Men""""Seven Days In May""""Lawrence of Arabia""""The Conformist""""The Candidate""""Dr Strangelove""""Citizen Kane""""Casablanca""""Failsafe"" https://t.co/LpMbe9ZvnX","Seattle, WA",,WA
"Also on principle, the Yankees should not be allowed to use the Hunger Games Mockingjay sound when batters strike out, because NEW YORK YOU ARE THE CAPITOL. BRIAN CASHMAN IS PRESIDENT SNOW.","Seattle, WA",,WA
"Oscar Wilde was born on this day, October 16, in 1854. The Irish poet and playwright wrote only one novel: THE PICTURE OF DORIAN GRAY. Published in 1890, this Gothic horror tale became a scandal in uptight Victorian society because of its hedonistic and homoerotic allusions. https://t.co/3GSo9MxEHY","Seattle, WA","Seattle, WA",WA
LIVE ~ finishing The Picture of Dorian Gray ~ (hopefully) ~ https://t.co/JNuR2oNHht https://t.co/ftXMO4gXQt,"Seattle, WA",,WA
Ready for the THRILLING CONCLUSION of Oscar Wilde's The Picture of Dorian Gray? #BookClub at 2:30pm PST https://t.co/JNuR2oNHht,"Seattle, WA",,WA
LIVE ~ Book Club~ Part two of The Picture of Dorian Gray ~ https://t.co/JNuR2oNHht https://t.co/Ve1Y9idxY3,"Seattle, WA",,WA
"From a Netflix review of Anatomy of Hell: ""Nothing like shoving farm equipment into a woman's privates to ruin a movie."" #artfilms",Seattle,,WA
"Seriously, folks. Miller's Crossing is the Coen's masterpiece. One of the finest films of its decade. https://t.co/qnx9yL1vcK",Seattle,,WA
Episode 15 - the Picture of Dorian Gray (Pt 1) is up! Shoutouts for: @2GirlsOnaBench @waywapod @fanfilmboyzpod @AFactsChicago This weekâ€™s promo: @2GirlsOnaBench https://t.co/wjDzPyFwTS #PodernFamily #WLIPodPeeps,"Scotch Plains, NJ",,NJ
"On the last chapter of â€œThe Picture of Dorian Grayâ€ù by Oscar Wilde. Recording either Friday or Saturday night this week. Any questions or comments, submit them now and Iâ€™ll be sure to add them to the discussion! #brookreading #WLIPodpeeps #PodernFamily https://t.co/Ypy06MIU3r","Scotch Plains, NJ",,NJ
"Iâ€™m watching Lawrence of Arabia now. If you havenâ€™t, you should. IMMEDIATELY https://t.co/670Wsl79XQ","Santa Monica, CA","Santa Monica, CA",CA
The plot of Miller's Crossing as I remember it: Gabriel Byrne is in the woods about to shoot a guy on his knees. Or he's getting shot.,Santa Monica,,CA
"There's a little Miller's Crossing in this scene, right?",Santa Monica,,CA
"@fossiloflife check out these too... Bicycle Theives, Irreversible, Anatomy of hell, The mirror, Red Blue Green,.. http://tinyurl.com/ak63ve","Santa Cruz, California",,CA
Enter for your chance to win a once in a lifetime VIP trip to the Intel Extreme Masters Sydney to cheer with the energetic Aussie crowd in the #9thGen Intel Core i9 Processor Dreamstakes or one of hundreds of PUBG &amp; Call of Duty: Black Ops 4 codes. https://t.co/hzbmawjvf2 https://t.co/VXhoDKC6Mq,"Santa Clara, CA",,CA
"Enter for your chance to win a once in a lifetime VIP trip to the mecca of esports competitions, Intel Extreme Masters Katowice or other Intel powered events in the #9thGen Intel Core i9 Processor Dreamstakes or thousands of PUBG &amp; COD: Black Ops 4 codes. https://t.co/NlxSIJUGja https://t.co/IOsrELKYZ9","Santa Clara, CA",,CA
We're taking a winner and a guest to experience a once in a lifetime VIP trip to Intel Extreme Masters Sydney in the #9thGen Intel Core i9 Processor Dreamstakes or one of hundreds of PUBG &amp; Call of Duty: Black Ops 4 codes. https://t.co/3B0xQ6DQQn https://t.co/S8pNhyZgBQ,"Santa Clara, CA",,CA
With those gift bags falling I thought they were doing a homage to the hunger games Mockingjay #Oscars,"Sandusky, OH",,OH
"ANATOMIE DE L&#8217;ENFER: ANATOMY OF HELL2004June 6, 2009Netflix DVD France French77 Minutes Drama / Adult.. http://tinyurl.com/pbdojw",San Jose CA USA,,CA
One thousand words into a Breillat ANATOMY OF HELL review and I have no idea where I'm going with it. Is it genius or is it trash?,San Jose CA USA,,CA
@MaryaMurphy Have you seen Breillat's ANATOMY OF HELL?,San Jose CA USA,,CA
"ANATOMY OF HELL (Breillat, 04) Exposure, intimacy, begged-for degradation, passivity, gender power turmoil, and lots bodily fluids.",San Jose CA USA,,CA
"@starwars Tried to keep it to one film per filmmaker &amp; per sub-genre.Honorable Mentions: Planet of the Apes, Tora! Tora! Tora!, Seven Samurai, Captain Blood, Die Nibelungen, Lawrence of Arabia, Black Angel (1980), Once Upon a Time in the West, Yojimbo","San Francisco, California","San Francisco, CA",CA
"Shoutout to the guy who recognized me as ""Miles from Twitter"" at Half Price Books while I was checking out the Lawrence of Arabia CE BD set.","San Francisco, California",,CA
"Price reduced from $925. to $740, at #CHANNINGPOSTERS: LAWRENCE OF ARABIA Peter O'Toole David Lean Best Picture #Oscar Set of 8 LCs 1962  https://t.co/pJFsAePp9T https://t.co/8Ifx62gmIo","San Francisco, CA, USA",,CA
"If you've been eyeballing this eight lobby card set for #LawrenceOfArabia at #CHANNINGPOSTERS on #EBAY, buy it now before this great price goes away (a mean price on this set is about $1,400., on sale, $740.): https://t.co/N5yHgvZX7V #PeterOToole #DavidLean #Oscars #AcademyAwards https://t.co/Bh0MXtZsxI","San Francisco, CA, USA",,CA
Check out PETER O'TOOLE Color Still From Lawrence of Arabia Autographed by Peter O'Toole  https://t.co/k6MdaMdXzk â€_ via @eBay https://t.co/H7rGk8Fhky,"San Francisco, CA, USA",,CA
For sale at #CHANNINGPOSTERS: PETER O'TOOLE Color Still From Lawrence of Arabia Autographed by Peter O'Toole  https://t.co/cWiTlxfhji https://t.co/MNVXdlE9Xv,"San Francisco, CA, USA",,CA
For sale at #CHANNINGPOSTERS: LAWRENCE OF ARABIA Peter O'Toole David Lean Best Picture Oscar Set of 8 LCs 1962  https://t.co/CaISsjPM1z https://t.co/VxDVf6p1bF,"San Francisco, CA, USA",,CA
"Known for her quiet yet immersive and hyper-present performances, Michelle Williams' done it all: from stagework (Blackbird) to auteur cinema ('Iâ€™m Not There,' 'Brokeback Mountain') to blockbuster thriller ('Deception'). https://t.co/WWpHEwJ4F2 https://t.co/u7oPqzraUW","San Francisco, CA",,CA
"Our #1 goal of the season? To make sure you can HOLIDAY #YOURâù_ï¸èOUT without shipping or schlepping.Weâ€™ve partnered with @lyft to offer free roundtrip rides* to your local @oldnavy when you use buy online, pickup in-store THIS SATURDAY!âœ¨_Ÿ’»âœ¨_Ÿ_˜âœ¨_Ÿ_Åâœ¨_Ÿ™Œ*max $10 off per ride","San Francisco, CA",,CA
Ed Lachman wins Best Cinematography for 'Carol' #SpiritAwards #CarolMovie https://t.co/3R01ZBJsf5,"San Francisco, CA",,CA
"AwardsWatch's 50 Favorite Performances of 20151. Rooney Mara, Carol#RooneyMara #CarolMovie @WeinsteinFilms https://t.co/oINYsvlIlh","San Francisco, CA",,CA
"AwardsWatch's 50 Favorite Performances of 20152. Cate Blanchett, Carol#CateBlanchett #CarolMovie @CarolMovie https://t.co/8y43Dmbp09","San Francisco, CA",,CA
Love Wins: CAROL is the ICS winner for Best Film of 2015 https://t.co/NiNzW42Itr #CarolMovie @ICSfilm @CarolMovie https://t.co/izkHTfPdb0,"San Francisco, CA",,CA
"Guess this means the most nominated film, CAROL, is going home emptyhanded. _Ÿ˜_#EEBAFTAs #CarolMovie","San Francisco, CA",,CA
Congrats to @CarolTheMovie and @WeinsteinFilms on their SIX @filmindependent noms this morning! #CarolMovie https://t.co/dL6yAsgyNm,"San Francisco, CA",,CA
"Our #1 goal of the season? To make sure you can HOLIDAY #YOURâù_ï¸èOUT without shipping or schlepping.Weâ€™ve partnered with @lyft to offer free roundtrip rides* to your local @oldnavy when you use buy online, pickup in-store THIS SATURDAY!âœ¨_Ÿ’»âœ¨_Ÿ_˜âœ¨_Ÿ_Åâœ¨_Ÿ™Œ*max $10 off per ride","San Francisco, CA",,CA
"Today, for Bowie's 70th: THE MAN WHO FELL TO EARTH @ 2:00 &amp; 7:00 + MERRY CHRISTMAS, MR. LAWRENCE @ 4:35 &amp; 9:35. https://t.co/etFN7IIvZx","San Francisco, CA",,CA
"Our #1 goal of the season? To make sure you can HOLIDAY #YOURâù_ï¸èOUT without shipping or schlepping.Weâ€™ve partnered with @lyft to offer free roundtrip rides* to your local @oldnavy when you use buy online, pickup in-store THIS SATURDAY!âœ¨_Ÿ’»âœ¨_Ÿ_˜âœ¨_Ÿ_Åâœ¨_Ÿ™Œ*max $10 off per ride","San Francisco, CA",,CA
"Our #1 goal of the season? To make sure you can HOLIDAY #YOURâù_ï¸èOUT without shipping or schlepping.Weâ€™ve partnered with @lyft to offer free roundtrip rides* to your local @oldnavy when you use buy online, pickup in-store THIS SATURDAY!âœ¨_Ÿ’»âœ¨_Ÿ_˜âœ¨_Ÿ_Åâœ¨_Ÿ™Œ*max $10 off per ride","San Francisco, CA",,CA
"New blog post on #FearFestevil! I talk about The Love Witch, a film that really explores &amp; champions women's rights! https://t.co/cY8kQJJ4mi https://t.co/yB5fluKKu7","San Francisco, CA",,CA
"Anitwitter screaming ""WHICH ANIME IS THIS FROM?!?!"" not realizing it's Ryuichi Sakamoto and David Sylvian's song from Merry Christmas Mr. Lawrence",San Francisco Bay Area,,CA
"This holiday, give your loved ones the gift of health and fitness. Because a little motivation can go a long way, and a little Fitbit box can hold a lot of love.",San Francisco,,CA
"BEST PRODUCTION DESIGN, Winner: ""Carol"" (Judy Becker; Heather Loeffler) @CarolMovie #CarolMovie @WeinsteinFilms",San Francisco,,CA
Google Doodle celebrates Lawrence of Arabia's Omar Sharif https://t.co/mwYfnztPm9 https://t.co/2Wi9IUOoSW,San Francisco,,CA
"""The Hunger Games: Mockingjay Part 2""! ""Secretary""! What's streaming on Amazon for October 2016 https://t.co/GtHUwgRxKd https://t.co/Ffiw4LiF2h",San Francisco,,CA
Just lying awake thinking about how Annette Bening didn't win an Oscar for BEING JULIA https://t.co/GY0Swe7rWi,"San Diego, CA",,CA
"The Godfather ,The Godfather Part II, GoodFellas, The Untouchables, Donnie Brasco, Scarface, Millerâ€™s Crossing ,Casino, Mean Streets &gt;&gt;&gt;","San Diego, CA",,CA
"But possibly the worst of it all, *witch hat knobs* on that flashy body. I love witch hats, but they're clunky/retro vibe, not at all appropriate for the pimpy esthetic they were clearly shooting for. No, if the SG Supra arrives at the pearly gates, it shall be turned away.",San Diego,,CA
"me, at a party: anyway the worst part of brokeback mountain is thinking about them rawing with no lube on a diet of beans hahathem: ..........","Salt Lake City, UT",,UT
@Bud_Doggin @grizzlemeister @onceuponattimei Don't forget an ocean of booze. Clinton is the reverse Picture of Dorian Gray. Yikes.,"Sacramento, California",,CA
"@JoeSimpson79 The best:Lumet: Murder on the Orient Express, Dog Day Afternoon, NetworkFavorite:Coens: Raising Arizona, Miller's Crossing, Barton Fink","Sacramento, CA",,CA
"The Hunger Games: Mockingjay, Part 2 comes out today on DVD/Blu-Ray: https://t.co/A1yPn0sqaR @SacNewsReview #officiallydumped","Sacramento, CA",,CA
"A tune for all the lonely kings out there looking for a star to guide them this Christmas.https://t.co/T83vfewUu3","Rural San Diego, CA",,CA
"I just finished watching #BrokebackMountain with Magi-Chan, Cryzel, Sylvana, Mewtwo, Patti and Fate, here; itâ€™s a real good movie. It had great story development and character growth throughout. Now, why did I deny myself watching it before now?â_¡ï¸è_Ÿ’™â_¡ï¸è","Ruckersville, VA",,VA
"If you've never seen The Picture of Dorian Gray (1945) see it, and then if you're ever in Chicago go see The Picture of Dorian Gray. #classichollywood #classichorror #art https://t.co/bt7jWLPsig","Royal Oak, MI","Chicago, IL",IL
.@kvpi Producer Christine Vachon joins the #Kodakery #podcast discussing #CarolMovie &amp; more https://t.co/0RlBn74z10 https://t.co/rIJpBCZaIL,"Rochester, NY",,NY
Weâ€™re thrilled to see Ed Lachman earn his second #Oscarnoms for #CarolMovie. #ShotOnKodak #Oscars2016 https://t.co/98nNPuLBYB,"Rochester, NY",,NY
Lawrence of Arabia is a masterpiece on #ReelFilm @kodakreelfilm https://t.co/2ydnqlTDNq,"Rochester, NY",,NY
"@nymelb86 @VerbleGherulous @EileenDem17 @MsMightyPen @joffiecakes @phlubup @danigirlPA @HarlemMC @shuboogie @Redpainter1 @Ginger624 @3parenthesescat @lirpalomina @DTrump_Cat @FiredupBethy @CalypsoCats @Cat13252228 @funkylunchbucke @dinhi45 @MizQue @FailShark @KatherineK221 @lisa_jocko @58isthenew40 @myserenity69 @GangstaMimi @carribeth @pK_solo1 @Snarkaroni @bouncingthe500 @StarkMandrel @HugoMunsterberg @C_in_Toronto 3 movies, 5 tags zero explanations.Miller's CrossingHeavy TrafficBaby Snakes@JosephScrimshaw@ClaraJeffery @sethpalmer3 @gcraig1 @B_inShortsville","Rochester, NY",,NY
We got @AtomicMariâ€™s gift list in order and we can do the same for you. Reply with any questions about who youâ€™re shopping for and weâ€™ll help. #AskABlueShirt https://t.co/xRMmM9A9kR https://t.co/Fr1bU8Rnyt,"Richfield, MN",,MN
"Yeah, they look like the went to the mountains to train--Brokeback Mountain, to be specific.#MAGA https://t.co/aeiwwRQfcY",Republic of Texas,,TX
Rent The Hunger Games: Mockingjay Part 2 -- just 99 cents through 7/11 on #MicrosoftMoviesTV https://t.co/9BBNSPGQi2 https://t.co/P4Ccjsdmfr,"Redmond, WA",,WA
"@ali11iraq Sharif Mecca Hussein bin Ali, Sharif of Mecca was promised an Arab kingdom if he helped British to occupy Palestine, Syria, Lebanon and Jordan. the key player in this deal was officer T. E. Lawrence  who's known then  by Lawrence of Arabia. History does not lie.  @ikalin1 https://t.co/YEbaHGYGYv","Raleigh, NC",,NC
@Lj_era8 Brokeback mountain bro shit is _Ÿ”¥_Ÿ”¥_Ÿ”¥ thank me later daddy. _Ÿ’‹,"Queens, NY",,NY
Going to see MERRY CHRISTMAS MR. LAWRENCE at @QuadCinema today? Check this out https://t.co/7X9ajtnado,"Queens, NY",,NY
"Merry Christmas, Mr. Lawrence, Labyrinth &amp; The Man Who Fell to Earth weren't movies? Did I miss Bowie?","Queens, NY",,NY
"mid-vacation discovery mum has inducted the merry christmas, mr. lawrence theme into her easy listening canon",queens,,NY
"â€œEvery portrait that is painted with feeling is a portrait of the artist, not of the sitter.â€ù  â€• Oscar Wilde, The Picture of Dorian Gray  Painting: Morgan Weistling, The Artist https://t.co/MwoYXiYX74","Prunedale, CA",,CA
New @GetReelMovies EP 11 batman v superman the hunger games mockingjay-part 2 https://t.co/7zbZP5crqE,"Providence, RI",,RI
New film #CarolMovie took 11 years to makeâ€”and that hard work paid off in a stunning way. https://t.co/kOMEGcmgEx https://t.co/kZYSYywQ1F,"Portland, OR",,OR
"""Carol is the lesbian Christmas movie of my dreams."" â€” @gracemanger https://t.co/kOMEGcmgEx #CarolMovie https://t.co/Uc1b61v7AG","Portland, OR",,OR
@anamariecox #petsnamedafterfood here's Tic Tac. Actually with his brother Frankie named after characters in Miller's Crossing. But food too https://t.co/NHYWdaVzx7,"Portland, OR",,OR
"@ORStatePolice Attorney James Matthews Vancouver Washington was hired by my little cousin Christopher and his family owes me some kind of money on the last 80 million dollar gross they hired this lawyer to investigate",Portland Oregon ,,OR
"Merry Christmas, Mr. Lawrence.  twitter has no edit button because they haven't been invented yet. https://t.co/0Gih90OrqG",Portland,,OR
BARTON FINK and MILLERâ€™S CROSSING. https://t.co/PYlQqjBwUA,Portland,,OR
RT https://t.co/qfxV9NQ1Gk THE HUNGER GAMES MOCKINGJAY 2: narrative of this film could have been folded into last one. Still worth view. 3â€_,Portland,,OR
